name,account_type,account_sub_type,description,current_balance
Cash,Asset,Current Asset,"This account tracks all cash on hand and in bank accounts for X Software. It's used for recording all cash inflows (e.g., customer payments, investment proceeds) and outflows (e.g., vendor payments, employee salaries). Increases in cash increase total assets and can positively impact the cash flow statement. Decreases in cash reduce total assets. The starting balance of $90,000 represents the company's initial cash position. Accounting rules require accurate reconciliation of bank statements to the cash account. This account helps track liquidity and the ability to meet short-term obligations. For example, receiving $25,000 from each of 5 companies would be recorded as a debit to Cash. Paying $9,000 for employee salaries would be a credit to Cash. It's vital for assessing the company's ability to invest in new projects and manage working capital.",90000.0
Accounts Receivable,Asset,Current Asset,"This account tracks money owed to X Software by its customers for goods or services already provided. It's used when X Software provides services or hardware chips on credit. An increase in accounts receivable increases total assets. When customers pay their invoices, Accounts Receivable decreases and Cash increases. The starting balance of $15,000 represents the amount currently owed by customers. Proper accounting requires tracking aging of receivables to identify potential bad debts. For instance, if Loo owes $5,000 for software development services, it's recorded as a debit to Accounts Receivable. This account helps track the effectiveness of the company's credit policy and collections efforts, ultimately impacting revenue recognition and financial health.",15000.0
Inventory,Asset,Current Asset,"This account tracks the value of hardware chips held for sale by X Software. It's used when chips are purchased from Ram Electronics and when chips are sold to customers like Kero and Mena. An increase in inventory increases total assets, while a decrease (due to sales) reduces inventory and increases cost of goods sold. The starting balance of $30,000 represents the value of chips on hand. Accounting rules (e.g., FIFO, Weighted Average) determine the cost of goods sold. This account is critical for managing supply chain and determining profitability. For example, purchasing $2,500 of chips from Ram Electronics increases Inventory. Selling $5,000 of chips decreases Inventory and increases Cost of Goods Sold. Regular inventory counts are crucial to ensure accurate financial reporting.",30000.0
Prepaid Expenses,Asset,Current Asset,"This account tracks payments made by X Software for goods or services that will be received in the future. It's used for recording prepayments such as annual software subscriptions or insurance premiums. An increase in prepaid expenses increases total assets. As the benefit is received, prepaid expenses decrease and a related expense account increases. The starting balance of $2,000 represents the value of future benefits already paid for. Accounting rules require recognizing the expense over the period the benefit is received. For example, prepaying for ChatGPT subscriptions would be recorded as a debit to Prepaid Expenses. Each month, a portion of this would be expensed. This account helps accurately match expenses to the periods they benefit, resulting in a more accurate portrayal of profitability.",2000.0
Investments,Asset,Non-Current Asset,"This account tracks investments made by X Software in stocks, bonds, or other securities. It's used when the company invests excess cash for future growth or returns. An increase in investments increases total assets. Gains or losses on investments affect net income and equity. The starting balance of $50,000 represents the value of current investment holdings. Accounting rules dictate how investments are valued (e.g., fair value, cost). This account is used for tracking investment income and overall portfolio performance. If X Software purchases stock for $10,000, the investment account increases. If the value drops by $1,000, a loss is recorded, and the carrying value of the investment is adjusted.",50000.0
"Property, Plant, and Equipment (PP&E)",Asset,Non-Current Asset,"This account tracks the value of long-term tangible assets owned by X Software, such as laptops, servers, and office equipment. It's used when the company purchases or disposes of these assets. An increase in PP&E increases total assets. Depreciation expense reduces the book value of PP&E over time. The starting balance of $80,000 represents the historical cost of the company's fixed assets. Accounting rules require depreciation expense to be recognized each period. For example, purchasing laptops for $1,000 per developer from Dell would increase PP&E. Recording depreciation expense decreases PP&E and increases Depreciation Expense. This account helps track the company's investment in long-term assets and the related depreciation expense.",80000.0
Intangible Assets,Asset,Non-Current Asset,"This account tracks the value of non-physical assets owned by X Software, such as software licenses, patents, or trademarks. It's used when the company acquires or develops these assets. An increase in intangible assets increases total assets. Amortization expense reduces the book value of intangible assets over time. The starting balance of $10,000 represents the value of the company's intangible assets. Accounting rules require amortization expense to be recognized each period. This account is used for tracking the value of these assets and their contribution to future earnings. This account helps track the value of assets that provide a long-term benefit to the company and contribute to its competitive advantage.",10000.0
Other Assets,Asset,Other Asset,"This account tracks other assets owned by X Software that don't fit into other asset categories. It's used for items like long-term security deposits or deferred tax assets. An increase in other assets increases total assets. The specific nature of this account depends on the asset. The starting balance of $5,000 represents the value of these miscellaneous assets. Specific accounting rules apply depending on the type of asset. This account provides a catch-all for less common assets and helps ensure all assets are properly accounted for.",5000.0
Accounts Payable,Liability,Current Liability,"This account tracks money owed by X Software to its suppliers for goods or services already received. It's used when the company purchases goods or services on credit. An increase in accounts payable increases total liabilities. When X Software pays its suppliers, Accounts Payable decreases and Cash decreases. The starting balance of $10,000 represents the amount currently owed to suppliers. Proper accounting requires tracking due dates to avoid late payment penalties. For example, owing $2,500 to Ram Electronics for chip supplies is recorded as a credit to Accounts Payable. This account helps track the company's short-term obligations to suppliers and manage cash flow.",10000.0
Short-Term Loans,Liability,Current Liability,"This account tracks loans payable by X Software within one year. It's used when the company borrows money from a bank or other lender for a short period. An increase in short-term loans increases total liabilities. When X Software repays the loan, Short-Term Loans decreases, and Cash decreases. The starting balance of $15,000 represents the amount of short-term debt outstanding. Accounting rules require recognizing interest expense on the loan. This account helps track the company's short-term borrowing and related interest payments. For example, borrowing $10,000 from a bank for 6 months is recorded as a credit to Short-Term Loans.",15000.0
